x,y,z,roll,pitch,yaw,reachable,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.12,0.05,0.18,0.0,0.7854,0.0,1,-0.006812039281758657,-1.661234575836424,1.546968996250511,-2.5968780262292284,1.5568927949133744,2.7866364517043842
0.12,0.05,0.18,0.0,1.5708,0.0,1,2.3267361982668433,0.5231487067178655,1.0895003572755184,1.528948211277072,-2.393863801805473,-3.14159
0.12,0.1,0.02,0.0,0.0,0.0,1,2.5952790524918954,1.3492779494231684,1.5023474822145626,0.27417155709820135,-2.1171439071462275,1.5842884333245146
0.12,0.1,0.02,0.0,0.7854,0.0,1,0.33808691356703274,-1.3589304931904065,-1.4632715547516135,-0.33719454927441206,1.9031237611524578,2.3393794245472037
0.12,0.1,0.02,0.0,1.5708,0.0,1,0.3375838456765891,-1.3599618464277445,-1.4739956384924424,-0.30764937952156424,1.9001691788678738,-3.1415636084262055
0.12,0.1,0.06,0.0,0.0,0.0,1,2.595398006778756,1.0097542880867467,1.682647767556804,0.43339949171540315,-2.117077035917378,1.5842861185314558
0.12,0.1,0.06,0.0,0.7854,0.0,1,2.596942829279721,1.0145106590381854,1.6717137108710065,0.4442790359338675,-2.1212994761811683,2.36565829679096
0.12,0.1,0.06,0.0,1.5708,0.0,1,2.5976470917101557,1.0223059568946082,1.6574877653328295,0.46180127610931315,-2.1229529083027523,3.14159
0.12,0.1,0.1,0.0,0.0,0.0,1,2.595166950485941,0.7041608568816304,1.7127818233563592,0.7088659801549376,-2.117284635074351,1.584278430408432
0.12,0.1,0.1,0.0,0.7854,0.0,1,2.5970492442908846,0.7107716782807341,1.701663209411659,0.7180656098627506,-2.1211451014578104,2.3656650596036197
0.12,0.1,0.1,0.0,1.5708,0.0,1,0.3375988325130476,-2.252259380480487,1.6888856170175044,-2.5782394233955706,1.9002144634359894,3.1415750993944567
0.12,0.1,0.14,0.0,0.0,0.0,1,2.5953883602904173,0.4778735207632358,1.5899043970840816,1.0580226367554157,-2.1170104768208886,1.5842868072406915
0.12,0.1,0.14,0.0,0.7854,0.0,1,2.597187030196278,0.485600563294192,1.5796878410634558,1.065208240032844,-2.1209591230939706,2.365677027222883
0.12,0.1,0.14,0.0,1.5708,0.0,1,2.5976510448562076,0.4951432170312409,1.5696733351568142,1.0767666720410467,-2.122948955122114,-3.1415891923404793
0.12,0.1,0.18,0.0,0.0,0.0,1,0.33928190581282075,-0.3957599486283032,-1.2753697773229118,-1.4951387649878456,1.9101496929184345,1.5475266883920735
0.12,0.1,0.18,0.0,0.7854,0.0,1,2.597213601788893,0.37658554761237906,1.3047231089117872,1.449196156847575,-2.1210018233916657,2.3656662770501016
0.12,0.1,0.18,0.0,1.5708,0.0,1,0.33761954187359156,-0.3860848663920132,-1.2959068973117842,-1.4596048991007058,1.900204848996624,3.1415818984901582
0.14,-0.1,0.02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.02,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.02,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.06,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.06,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.06,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.1,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.1,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.14,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.14,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.18,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.1,0.18,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.02,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.02,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.06,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.06,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.06,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.1,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.1,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.14,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.14,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.18,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-0.05,0.18,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.02,0.0,0.0,0.0,1,-0.2766104806896372,-1.7937122887613959,-0.24562681212479376,-1.0722021141464424,1.2938859053565561,1.59970476526839
0.14,0.0,0.02,0.0,0.7854,0.0,1,-0.27594269971292473,-1.8460772545676385,-0.13091619486362613,-1.14384234988507,1.2887917512813551,2.376149977253481
0.14,0.0,0.02,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.06,0.0,0.0,0.0,1,-0.2774141640321953,-1.4025465600365383,-0.6708879990344184,-1.0381948940656338,1.2932570131627765,1.5996114493289582
0.14,0.0,0.06,0.0,0.7854,0.0,1,-0.27674420780588443,-2.009619859392904,0.6377468307140293,-1.748871165985657,1.288172594957297,2.3762400130743995
0.14,0.0,0.06,0.0,1.5708,0.0,1,-0.2764903262760339,-1.9845496314497615,0.5811789737064496,-1.738193984334587,1.2860784863774124,-3.141521582736038
